"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2015","986.11","973.43","986.87","933.50","","1.67%"
"01-11-2015","969.94","998.13","1,007.49","945.43","","-2.91%"
"01-10-2015","999.01","995.01","1,029.60","989.72","","0.93%"
"01-09-2015","989.78","990.54","998.14","943.93","","-0.87%"
"01-08-2015","998.49","1,054.30","1,069.03","953.25","","-5.52%"
"01-07-2015","1,056.81","1,036.66","1,070.51","1,023.60","","2.17%"
"01-06-2015","1,034.34","1,033.51","1,040.10","979.89","","-0.36%"
"01-05-2015","1,038.05","1,012.24","1,054.15","993.02","","3.28%"
"01-04-2015","1,005.05","1,058.32","1,109.78","999.47","","-5.16%"
"01-03-2015","1,059.69","1,100.42","1,121.52","1,031.87","","-3.08%"
"01-02-2015","1,093.36","1,076.45","1,103.77","1,048.86","","1.61%"
"01-01-2015","1,076.04","1,014.96","1,097.01","986.92","","5.88%"
"01-12-2014","1,016.30","1,064.48","1,066.34","970.41","","-4.37%"
"01-11-2014","1,062.69","1,038.83","1,067.42","1,029.56","","2.67%"
"01-10-2014","1,035.03","1,002.48","1,036.80","960.45","","3.21%"
"01-09-2014","1,002.86","1,005.00","1,027.75","985.20","","0.26%"
"01-08-2014","1,000.30","966.37","1,003.09","954.39","","2.71%"
"01-07-2014","973.91","962.58","987.91","937.45","","1.35%"
"01-06-2014","960.98","914.36","968.77","910.41","","5.58%"
"01-05-2014","910.17","851.33","945.09","837.90","","7.11%"
"01-04-2014","849.77","853.99","870.30","844.27","","-0.13%"
"01-03-2014","850.89","811.82","851.81","803.96","","4.68%"
"01-02-2014","812.81","791.52","813.76","774.40","","2.24%"
"01-01-2014","794.99","819.74","828.01","785.56","","-2.71%"
"01-12-2013","817.17","799.04","822.27","792.01","","2.22%"
"01-11-2013","799.41","812.58","817.62","777.21","","-1.78%"
"01-10-2013","813.93","753.40","815.03","745.83","","8.39%"
"01-09-2013","750.93","727.02","793.72","707.51","","3.31%"
"01-08-2013","726.88","754.10","758.76","679.23","","-3.08%"
"01-07-2013","749.98","755.34","792.79","742.06","","-0.82%"
"01-06-2013","756.18","774.22","775.05","718.13","","-2.06%"
"01-05-2013","772.09","759.73","800.88","759.73","","1.39%"
"01-04-2013","761.47","739.14","764.34","713.63","","3.27%"
"01-03-2013","737.37","738.22","773.95","726.39","","-0.06%"
"01-02-2013","737.78","779.68","781.36","735.32","","-5.28%"
"01-01-2013","778.90","768.15","789.32","768.15","","1.92%"
"01-12-2012","764.22","758.82","770.63","752.87","","0.68%"
"01-11-2012","759.06","717.74","759.85","714.22","","5.53%"
"01-10-2012","719.26","734.07","748.37","713.79","","-1.96%"
"01-09-2012","733.64","677.48","737.70","670.57","","8.62%"
"01-08-2012","675.39","667.54","699.39","661.04","","1.01%"
"01-07-2012","668.61","675.71","685.06","643.66","","-1.06%"
"01-06-2012","675.80","633.96","676.62","614.47","","6.33%"
"01-05-2012","635.59","677.73","680.94","617.79","","-6.10%"
"01-04-2012","676.89","686.80","697.66","664.13","","-1.45%"
"01-03-2012","686.88","695.89","712.44","665.57","","-1.66%"
"01-02-2012","698.46","672.26","729.14","667.50","","3.86%"
"01-01-2012","672.49","597.72","674.66","592.35","","12.52%"
"01-12-2011","597.68","641.25","658.95","588.02","","-4.38%"
"01-11-2011","625.07","688.21","693.99","602.54","","-9.93%"
"01-10-2011","694.02","635.42","699.50","615.57","","7.85%"
"01-09-2011","643.52","660.74","673.31","618.69","","-0.66%"
"01-08-2011","647.78","715.13","719.58","609.39","","-8.79%"
"01-07-2011","710.24","743.72","749.48","708.91","","-3.62%"
"01-06-2011","736.94","732.47","738.18","681.12","","0.58%"
"01-05-2011","732.68","754.41","755.61","699.84","","-2.60%"
"01-04-2011","752.23","767.13","784.01","746.03","","-1.93%"
"01-03-2011","767.05","706.85","770.81","703.91","","9.44%"
"01-02-2011","700.89","727.66","734.57","679.97","","-3.20%"
"01-01-2011","724.05","816.41","817.57","712.46","","-10.76%"
"01-12-2010","811.34","774.99","813.12","754.36","","4.81%"
"01-11-2010","774.12","811.35","842.42","750.09","","-3.48%"
"01-10-2010","802.07","802.35","837.94","791.08","","0.33%"
"01-09-2010","799.45","723.96","806.70","723.17","","10.96%"
"01-08-2010","720.47","726.65","744.20","713.35","","-0.20%"
"01-07-2010","721.94","712.51","737.14","705.38","","0.51%"
"01-06-2010","718.27","687.88","725.51","671.62","","4.06%"
"01-05-2010","690.22","714.85","715.39","647.46","","-4.01%"
"01-04-2010","719.06","719.71","735.89","704.82","","0.60%"
"01-03-2010","714.75","681.19","725.12","678.35","","6.34%"
"01-02-2010","672.12","657.72","680.81","636.88","","1.18%"
"01-01-2010","664.31","707.89","723.50","648.05","","-6.05%"
"01-12-2009","707.10","687.91","710.14","673.77","","3.49%"
"01-11-2009","683.24","632.66","698.67","611.96","","7.34%"
"01-10-2009","636.49","678.46","700.09","633.75","","-6.41%"
"01-09-2009","680.06","626.72","680.48","611.95","","9.27%"
"01-08-2009","622.36","622.03","632.67","581.02","","0.60%"
"01-07-2009","618.62","571.70","622.18","519.80","","8.73%"
"01-06-2009","568.95","582.95","614.25","550.11","","-0.82%"
"01-05-2009","573.65","462.50","582.02","454.71","","28.66%"
"01-04-2009","445.87","377.10","449.83","373.07","","17.90%"
"01-03-2009","378.19","330.26","392.86","310.10","","11.26%"
"01-02-2009","339.93","358.54","373.75","328.99","","-6.25%"
"01-01-2009","362.60","372.31","405.04","330.54","","-1.79%"
"01-12-2008","369.22","349.23","389.75","323.98","","6.61%"
"01-11-2008","346.32","401.28","423.15","318.49","","-9.52%"
"01-10-2008","382.77","513.88","521.17","298.96","","-24.78%"
"01-09-2008","508.84","577.17","605.74","482.69","","-12.84%"
"01-08-2008","583.80","560.55","621.66","560.55","","1.79%"
"01-07-2008","573.53","545.31","603.63","501.77","","5.31%"
"01-06-2008","544.61","674.37","674.72","542.26","","-18.59%"
"01-05-2008","668.95","714.05","730.17","660.89","","-6.05%"
"01-04-2008","712.01","640.19","720.32","620.34","","12.13%"
"01-03-2008","634.96","703.84","708.22","598.88","","-12.47%"
"01-02-2008","725.46","739.82","780.01","675.18","","-0.85%"
"01-01-2008","731.68","856.80","896.79","625.96","","-14.44%"
"01-12-2007","855.12","806.40","860.04","789.82","","6.92%"
"01-11-2007","799.74","821.26","825.23","747.48","","-1.28%"
"01-10-2007","810.11","704.17","818.11","696.30","","15.42%"
"01-09-2007","701.91","620.59","703.94","617.14","","13.82%"
"01-08-2007","616.71","627.48","628.57","556.40","","-2.08%"
"01-07-2007","629.81","596.63","643.64","596.48","","5.22%"
"01-06-2007","598.57","596.98","599.71","569.24","","0.79%"
"01-05-2007","593.89","566.70","595.62","551.08","","5.39%"
"01-04-2007","563.52","521.91","579.08","504.22","","7.73%"
"01-03-2007","523.10","528.37","543.11","499.07","","-0.43%"
"01-02-2007","525.38","575.53","598.58","521.63","","-8.43%"
"01-01-2007","573.72","561.36","581.77","542.34","","2.31%"
"01-12-2006","560.78","553.73","565.30","516.65","","1.93%"
"01-11-2006","550.17","524.07","556.27","523.62","","4.98%"
"01-10-2006","524.05","502.51","528.62","489.94","","4.52%"
"01-09-2006","501.39","471.30","502.64","462.05","","6.37%"
"01-08-2006","471.36","429.81","475.91","427.08","","9.20%"
"01-07-2006","431.65","429.30","440.91","396.91","","0.98%"
"01-06-2006","427.45","426.27","429.91","352.24","","1.12%"
"01-05-2006","422.70","488.89","513.87","394.69","","-11.74%"
"01-04-2006","478.90","460.47","489.35","446.67","","4.29%"
"01-03-2006","459.21","414.99","462.65","414.47","","10.41%"
"01-02-2006","415.91","404.55","417.27","394.34","","3.05%"
"01-01-2006","403.60","384.28","403.97","375.65","","5.41%"
"01-12-2005","382.87","358.02","384.14","356.11","","7.36%"
"01-11-2005","356.62","319.28","366.01","319.02","","11.80%"
"01-10-2005","318.98","348.39","355.10","309.72","","-7.93%"
"01-09-2005","346.45","319.23","350.22","318.51","","9.28%"
"01-08-2005","317.04","311.15","321.65","305.91","","1.63%"
"01-07-2005","311.97","295.12","314.82","292.47","","5.31%"
"01-06-2005","296.25","276.05","296.81","273.29","","7.45%"
"01-05-2005","275.71","254.86","277.82","252.29","","9.11%"
"01-04-2005","252.68","268.23","274.13","251.09","","-5.75%"
"01-03-2005","268.10","275.75","285.81","260.14","","-3.03%"
"01-02-2005","276.49","271.04","278.10","267.88","","2.60%"
"01-01-2005","269.48","274.49","277.26","250.31","","-1.34%"
"01-12-2004","273.14","261.79","273.77","258.43","","4.63%"
"01-11-2004","261.06","237.66","261.59","236.21","","10.02%"
"01-10-2004","237.28","232.11","241.33","231.64","","2.24%"
"01-09-2004","232.08","216.83","233.85","216.12","","7.28%"
"01-08-2004","216.34","217.74","220.13","209.84","","-0.31%"
